获理学学士学位。,1978.09,四川省,-1,-1
获理学硕士学位。,1982.09,四川省,-1,-1
 法国居里大学高分子材料专业研究生学习,1990.03,法国,-1,学习
获理学博士学位。,1990.03,法国,-1,-1
 法国埃克森化学公司博士后。,1992.07,-1,法国埃克森化学公司,-1
博士生导师,1993.12,成都市,-1,-1
。,,-1,-1,-1
 更名为东北大学,1993.3,-1,东北大学,-1
 在清华大学,2006.06-2006.09,-1,清华大学,-1
 云南省楚雄州计委,1981.07,云南省,云南省楚雄州计委,-1
年毕业于浙江中医学院中医专业,1985,中,浙江中医学院,-1
 获学士学位,1985,中,-1,-1
年毕业于福建中医学院中医骨伤科学专业,1991,中,福建中医学院,-1
 获硕士学位,1991,中,-1,-1
6,,-1,-1,-1
 在云南化念农场一中队,1983.10-1988.01,云南省,一中队,-1
抽调在丽江地委村建办工作,1999.02-1999.12,丽江市,-1,工作
任办公室副主任,1999.02-1999.12,丽江市,-1,副主任
参加工作,1987.8,-1,-1,工作
 大学学历。,1987.8,-1,-1,-1
 就读澜沧一中；,1978.9-1980.9,-1,-1,-1
 历任售货员,1981.11-1984.12,民族商店,-1,-1
 就读省委党校函授学院国民经济管理专业；,1998.9-2000.2,-1,省委党校函授学院,-1
在澜沧县政府工作,1999.09-2003.01,澜沧县,-1,工作
 武汉钢铁公司硅钢厂精整车间,1987.04-1993.09,武汉市,武汉钢铁公司硅钢厂,-1
——至今,2009.04,-1,-1,-1
贾耀斌,2012.1,-1,-1,-1
邵为民,2012.1,-1,-1,-1
胡立山,2012.1,鞍山市立山区,-1,-1
